MME Name,MME Type,MME Error,Description
0xA005,VS_WR_MEM,0x14,Bad Checksum
0xA005,VS_WR_MEM,0x1C,Bad Length
0xA005,VS_WR_MEM,0x38,Bad Address
0xA005,VS_WR_MEM,0x3C,Bad Data Alignment
0xA009,VS_RD_MEM,0x10,Bad Offset
0xA009,VS_RD_MEM,0x14,Bad Length
0xA00D,VS_ST_MAC,0x10,Bad Module ID
0xA00D,VS_ST_MAC,0x14,Bad Image Checksum
0xA00D,VS_ST_MAC,0x1C,Bad Image Length
0xA00D,VS_ST_MAC,0x38,Bad Image Load Address
0xA00D,VS_ST_MAC,0x3C,Bad Data Alignment
0xA00D,VS_ST_MAC,0x40,Bad Start Address
0xA011,VS_GET_NVM,0x10,No NVRAM
0xA021,VS_WR_MOD,0x10,Bad Module
0xA021,VS_WR_MOD,0x12,Bad Length
0xA021,VS_WR_MOD,0x14,Bad Checksum
0xA021,VS_WR_MOD,0x20,Bad Offset
0xA021,VS_WR_MOD,0x40,Operation Blocked
0xA021,VS_WR_MOD,0x50,Fail to lock NVM
0xA025,VS_RD_MOD,0x10,Bad Module
0xA025,VS_RD_MOD,0x12,Bad Length
0xA025,VS_RD_MOD,0x14,Bad Checksum
0xA025,VS_RD_MOD,0x20,Unexpected Offset
0xA025,VS_RD_MOD,0x50,Fail to lock NVM
0xA025,VS_RD_MOD,0x58,DAK Mismatch
0xA029,VS_MOD_NVM,0x10,Bad Module
0xA029,VS_MOD_NVM,0x14,No NVRAM
0xA029,VS_MOD_NVM,0x18,Not enough NVRAM
0xA029,VS_MOD_NVM,0x1C,Bad Header Checksum
0xA029,VS_MOD_NVM,0x20,Bad Image Checksum
0xA029,VS_MOD_NVM,0x24,Bad PIB
0xA029,VS_MOD_NVM,0x28,Softloader Too Large
0xA029,VS_MOD_NVM,0x2C,Firmware Too Large
0xA029,VS_MOD_NVM,0x42,Firmware without PIB
0xA029,VS_MOD_NVM,0x44,Bad PIB Checksum
0xA029,VS_MOD_NVM,0x46,DAK Not Zero
0xA029,VS_MOD_NVM,0x48,DAC Mismatch
0xA029,VS_MOD_NVM,0x50,MFG HFID Mismatch
0xA029,VS_MOD_NVM,0x52,Bad Bind Factory Defaults
0xA029,VS_MOD_NVM,0x54,Bad Bind Template PIB
0xA029,VS_MOD_NVM,0x56,Bad Bind Working PIB
0xA029,VS_MOD_NVM,0x58,Error Computing PIB Checksum
0xA029,VS_MOD_NVM,0x5A,Bad Bind Scratch PIB
0xA029,VS_MOD_NVM,0x5C,No Firmware Version
0xA029,VS_MOD_NVM,0x5E,Version Mismatch
0xA029,VS_MOD_NVM,0x60,Bad 01PIB Checksum
0xA029,VS_MOD_NVM,0x62,Bad 02PIB Checksum
0xA029,VS_MOD_NVM,0x64,Bad WPIB Checksum
0xA029,VS_MOD_NVM,0x66,Illegal Firmware Revision
0xA031,VS_LNK_STATS,0x01,Bad Control
0xA031,VS_LNK_STATS,0x02,Bad Direction
0xA031,VS_LNK_STATS,0x10,Bad Link ID
0xA031,VS_LNK_STATS,0x20,Bad MAC Address
0xA035,VS_SNIFFER,0x10,Bad Control
0xA049,VS_FR_LBK,0x20,Invalid Duration
0xA049,VS_FR_LBK,0x12,Invalid Length
0xA049,VS_FR_LBK,0x24,Already Set
0xA051,VS_SET_KEY,0x10,Bad PEKS
0xA051,VS_SET_KEY,0x11,Bad PIB
0xA051,VS_SET_KEY,0x12,Bad PEKS Encrypted Payload
0xA051,VS_SET_KEY,0x13,Remote Failure
0xA051,VS_SET_KEY,0x14,Bad Remote Response
0xA051,VS_SET_KEY,0x15,Remote Decryption Failed
0xA059,VS_RD_CBLOCK,0x10,No NVRAM
0xA05D,VS_SET_SDRAM,0x30,Bad Checksum
0xA05D,VS_SET_SDRAM,0x34,BIST Failed
0xA065,VS_RSVD_7,0x10,No NVRAM
0xA069,VS_OP_ATTRIBUTES,0x02,Not Supported
0xA06D,VS_ENET_SETTINGS,0x01,Bad Control
0xA06D,VS_ENET_SETTINGS,0x02,Success Write
0xA06D,VS_ENET_SETTINGS,0x03,Bad Write Parameter
0xA071,VS_TONE_MAP_CHAR,0x01,Bad MAC Address
0xA071,VS_TONE_MAP_CHAR,0x02,Bad TMSLOT
0xA081,VS_PTS_NVM,0x10,Bad Module ID
0xA081,VS_PTS_NVM,0x14,No Flash Memory
0xA081,VS_PTS_NVM,0x18,Not Enough Flash Memory
0xA081,VS_PTS_NVM,0x1C,Bad Image Header Checksum
0xA081,VS_PTS_NVM,0x20,Bad Image Checksum
0xA081,VS_PTS_NVM,0x24,Invalid PIB
0xA081,VS_PTS_NVM,0x28,Softloader Too Large
0xA081,VS_PTS_NVM,0x2C,Firmware File Too Large
0xA081,VS_PTS_NVM,0x42,Firmware without PIB
0xA081,VS_PTS_NVM,0x44,Bad PIB Checksum
0xA081,VS_PTS_NVM,0x46,DAK Not Zero
0xA081,VS_PTS_NVM,0x48,DAC Mismatch
0xA081,VS_PTS_NVM,0x50,MFG HFID Mismatch
0xA081,VS_PTS_NVM,0x52,Bad Bind Factory Defaults
0xA081,VS_PTS_NVM,0x54,Bad Bind Template PIB
0xA081,VS_PTS_NVM,0x56,Bad Bind Working PIB
0xA081,VS_PTS_NVM,0x58,DAK Mismatch
0xA081,VS_PTS_NVM,0x5A,Failed to Lock NVM
0xA089,VS_CLASSIFICATION,0x01,Bad Control
0xA089,VS_CLASSIFICATION,0x02,Bad Volatility
0xA089,VS_CLASSIFICATION,0x03,Bad Classifier
0xA089,VS_CLASSIFICATION,0x04,Classifier table full
0xA089,VS_CLASSIFICATION,0x05,Classifier exists with different action
0xA089,VS_CLASSIFICATION,0x06,Classifier not found
0xA08D,VS_DIAG_STAGE,0x10,Refused
0xA08D,VS_DIAG_STAGE,0x11,Refused
0xA08F,VS_DIAG_STAGE,0x10,Error
0xA091,VS_RX_TONE_MAP_CHAR,0x01,Bad MAC
0xA091,VS_RX_TONE_MAP_CHAR,0x02,Bad Slot
0xA099,VS_SET_SDRAM_DENALI,0x01,Misaligned Address
0xA099,VS_SET_SDRAM_DENALI,0x02,Misaligned Entry Point
0xA099,VS_SET_SDRAM_DENALI,0x04,Foreign Entry Point
0xA099,VS_SET_SDRAM_DENALI,0x08,Bad Checksum
0xA099,VS_SET_SDRAM_DENALI,0x10,Out of Memory
0xA099,VS_SET_SDRAM_DENALI,0x20,Offset/Length Mismatch
0xA099,VS_SET_SDRAM_DENALI,0x40,Memory not Operational
0xA099,VS_SET_SDRAM_DENALI,0x80,Bad Length
0xA0B1,VS_MODULE_OPERATION,0x10,Invalid Number of Module Operations
0xA0B1,VS_MODULE_OPERATION,0x11,Invalid Module Operation ID
0xA0B1,VS_MODULE_OPERATION,0x12,Invalid Session ID
0xA0B1,VS_MODULE_OPERATION,0x13,Invalid Num Module Operation Specific Data
0xA0B1,VS_MODULE_OPERATION,0x14,Module ID not found
0xA0B1,VS_MODULE_OPERATION,0x15,Invalid Module Length
0xA0B1,VS_MODULE_OPERATION,0x16,Invalid Module Index
0xA0B1,VS_MODULE_OPERATION,0x17,Invalid Data Length
0xA0B1,VS_MODULE_OPERATION,0x18,Unexpected Offset
0xA0B1,VS_MODULE_OPERATION,0x19,Invalid Commit Action Code
0xA0B1,VS_MODULE_OPERATION,0x1A,Operation Block by previous Commit
0xA0B1,VS_MODULE_OPERATION,0x1B,Duplicate Module ID/SubID
0xA0B1,VS_MODULE_OPERATION,0x1C,Invalid Module ID/SubID
0xA0B1,VS_MODULE_OPERATION,0x20,NVM not Present
0xA0B1,VS_MODULE_OPERATION,0x21,NVM too small
0xA0B1,VS_MODULE_OPERATION,0x22,Unsupported Flash
0xA0B1,VS_MODULE_OPERATION,0x23,Fail to lock NVM
0xA0B1,VS_MODULE_OPERATION,0x24,Unsupported Flash
0xA0B1,VS_MODULE_OPERATION,0x30,Invalid Module checksum
0xA0B1,VS_MODULE_OPERATION,0x31,Individual Module Error
0xA0B1,VS_MODULE_OPERATION,0x32,Expected module not available in NVM or memory
0xA0B1,VS_MODULE_OPERATION,0x40,Invalid Header Checksum
0xA0B1,VS_MODULE_OPERATION,0x41,Invalid FW Checksum
0xA0B1,VS_MODULE_OPERATION,0x42,Invalid FW Checksum
0xA0B1,VS_MODULE_OPERATION,0x43,Soft-loader is too large
0xA0B1,VS_MODULE_OPERATION,0x44,Invalid PIB Checksum
