# Prescaler 6400_nawp_4db_081112
00000000 00000000
00000001 00000000
00000002 00000000
00000003 00000000
00000004 00000000
00000005 00000000
00000006 00000000
00000007 00000000
00000008 00000000
00000009 00000000
00000010 00000000
00000011 00000000
00000012 000000D4
00000013 0000010D
00000014 0000010D
00000015 0000010D
00000016 0000010D
00000017 0000010D
00000018 0000010D
00000019 0000010E
00000020 0000010E
00000021 00000111
00000022 00000110
00000023 00000110
00000024 00000110
00000025 00000110
00000026 00000110
00000027 00000110
00000028 00000110
00000029 00000110
00000030 00000110
00000031 00000110
00000032 00000110
00000033 00000110
00000034 00000110
00000035 00000110
00000036 0000010F
00000037 0000010F
00000038 0000010F
00000039 0000010E
00000040 0000010D
00000041 0000010D
00000042 0000010C
00000043 0000010C
00000044 0000010B
00000045 0000010B
00000046 0000010A
00000047 0000010A
00000048 0000010A
00000049 0000010A
00000050 0000010A
00000051 0000010A
00000052 0000010A
00000053 0000010B
00000054 0000010B
00000055 0000010B
00000056 0000010B
00000057 0000010B
00000058 0000010C
00000059 0000010C
00000060 0000010C
00000061 0000010C
00000062 0000010D
00000063 0000010D
00000064 0000010D
00000065 0000010D
00000066 00000000
00000067 00000000
00000068 00000000
00000069 00000000
00000070 00000000
00000071 00000000
00000072 00000000
00000073 00000000
00000074 00000000
00000075 00000000
00000076 00000000
00000077 00000000
00000078 00000000
00000079 00000000
00000080 00000000
00000081 00000000
00000082 00000000
00000083 00000000
00000084 00000000
00000085 00000000
00000086 00000000
00000087 00000000
00000088 00000000
00000089 00000000
00000090 00000000
00000091 00000000
00000092 00000000
00000093 00000000
00000094 000000EE
00000095 0000010C
00000096 0000010C
00000097 0000010C
00000098 0000010C
00000099 0000010C
00000100 0000010C
00000101 0000010B
00000102 0000010B
00000103 0000010C
00000104 0000010C
00000105 0000010C
00000106 0000010B
00000107 0000010B
00000108 0000010B
00000109 0000010B
00000110 0000010B
00000111 0000010B
00000112 0000010B
00000113 0000010C
00000114 0000010C
00000115 0000010C
00000116 0000010C
00000117 0000010C
00000118 0000010D
00000119 0000010D
00000120 0000010D
00000121 0000010D
00000122 0000010D
00000123 0000010E
00000124 0000010E
00000125 0000010F
00000126 0000010F
00000127 00000110
00000128 00000110
00000129 00000110
00000130 00000111
00000131 00000111
00000132 00000111
00000133 00000111
00000134 00000112
00000135 00000112
00000136 00000112
00000137 00000112
00000138 00000112
00000139 00000112
00000140 00000112
00000141 00000000
00000142 00000000
00000143 00000000
00000144 00000000
00000145 00000000
00000146 00000000
00000147 00000000
00000148 00000000
00000149 00000000
00000150 00000000
00000151 00000000
00000152 00000110
00000153 00000110
00000154 00000110
00000155 00000110
00000156 0000010F
00000157 0000010F
00000158 0000010F
00000159 0000010F
00000160 0000010E
00000161 0000010E
00000162 0000010D
00000163 0000010D
00000164 0000010C
00000165 0000010C
00000166 0000010C
00000167 0000010B
00000168 0000010B
00000169 0000010B
00000170 0000010C
00000171 0000010C
00000172 0000010C
00000173 0000010D
00000174 0000010D
00000175 0000010E
00000176 0000010E
00000177 0000010F
00000178 0000010F
00000179 00000110
00000180 00000110
00000181 00000110
00000182 00000110
00000183 00000110
00000184 0000010F
00000185 0000010F
00000186 0000010E
00000187 0000010E
00000188 0000010D
00000189 0000010C
00000190 0000010C
00000191 0000010C
00000192 0000010B
00000193 0000010B
00000194 0000010B
00000195 0000010B
00000196 0000010B
00000197 0000010B
00000198 0000010B
00000199 0000010B
00000200 0000010C
00000201 0000010C
00000202 0000010C
00000203 0000010D
00000204 0000010D
00000205 0000010D
00000206 0000010D
00000207 0000010D
00000208 0000010D
00000209 00000000
00000210 00000000
00000211 00000000
00000212 00000000
00000213 00000000
00000214 00000000
00000215 00000000
00000216 00000000
00000217 00000000
00000218 00000000
00000219 00000000
00000220 00000000
00000221 00000000
00000222 00000000
00000223 00000000
00000224 00000000
00000225 00000000
00000226 00000000
00000227 00000000
00000228 00000000
00000229 000000C8
00000230 0000010C
00000231 0000010C
00000232 0000010C
00000233 0000010C
00000234 0000010B
00000235 0000010B
00000236 0000010B
00000237 0000010B
00000238 0000010E
00000239 0000010E
00000240 0000010E
00000241 0000010E
00000242 0000010E
00000243 0000010E
00000244 0000010E
00000245 0000010E
00000246 0000010E
00000247 0000010E
00000248 0000010E
00000249 0000010E
00000250 0000010F
00000251 0000010F
00000252 0000010F
00000253 00000110
00000254 00000110
